ID	RA	Dec	SDSS Name
109018	137.34393310547	15.613663673401	J090922.53+153649.1
109021	139.2416229248	6.7150859832764	J091657.98+064254.2
109022	136.16386413574	18.257371902466	J090439.32+181526.5
109028	141.87004089355	3.9296011924744	J092728.80+035546.5
109031	141.31617736816	11.596884727478	J092515.88+113548.7
109038	135.8187713623	18.261079788208	J090316.49+181539.8
109045	141.31427001953	10.886727333069	J092515.42+105312.1
109050	149.6509552002	13.255275726318	J095836.22+131519.0
109057	140.06504821777	1.2888157367706	J092015.60+011719.7
109058	148.01583862305	19.651123046875	J095203.79+193904.0
109059	142.37980651855	23.893579483032	J092931.14+235336.8
109060	137.77322387695	9.3495559692383	J091105.57+092058.4
109066	137.34864807129	22.513935089111	J090923.67+223050.1
109072	145.13262939453	28.969331741333	J094031.83+285809.5
109077	147.82650756836	9.1392316818237	J095118.35+090821.2
109081	149.1770324707	15.63648223877	J095642.48+153811.2
109088	149.72221374512	15.379946708679	J095853.32+152247.7
109092	144.51098632812	27.656574249268	J093802.63+273923.5
109097	144.6435546875	8.8878993988037	J093834.45+085316.5
109100	146.62925720215	15.886324882507	J094631.02+155310.7
109101	136.02024841309	22.061576843262	J090404.85+220341.6
109102	140.31439208984	3.1510901451111	J092115.44+030904.0
109103	144.16973876953	2.7035501003265	J093640.73+024212.8
109106	148.46453857422	13.615106582642	J095351.47+133654.4
109108	146.08094787598	9.9847888946533	J094419.42+095905.1
109109	148.16886901855	25.08953666687	J095240.51+250522.2
109112	141.53456115723	34.895393371582	J092608.29+345343.4
109122	146.59425354004	9.1652297973633	J094622.62+090954.7
109126	143.74613952637	25.825677871704	J093459.07+254932.3
109139	139.16580200195	7.2663769721985	J091639.78+071559.0
110007	161.70562744141	18.03108215332	J104649.34+180151.8
110013	154.30299377441	13.192053794861	J101712.71+131131.3
110017	158.91377258301	28.565807342529	J103539.30+283356.8
110038	150.56787109375	19.215658187866	J100216.28+191256.3
110040	156.28721618652	13.601398468018	J102508.93+133605.1
110041	159.91264343262	25.322738647461	J103939.03+251921.8
110054	161.01025390625	22.257541656494	J104402.45+221527.1
110055	158.85459899902	3.2944309711456	J103525.11+031740.0
110059	159.80477905273	31.114025115967	J103913.14+310650.4
110063	163.80258178711	5.8625597953796	J105512.61+055145.3
110080	154.65547180176	3.2636070251465	J101837.31+031548.9
111024	176.0964050293	16.55126953125	J114423.13+163304.5
111027	179.3611907959	25.233079910278	J115726.68+251359.0
111031	173.51626586914	2.9734404087067	J113403.90+025824.3
111035	167.68838500977	12.016142845154	J111045.21+120058.1
111047	175.72471618652	0.16186048090458	J114253.92+000942.7
111054	178.0108795166	25.751119613647	J115202.60+254504.0
111057	177.13519287109	12.705292701721	J114832.44+124219.0
111063	179.60595703125	25.097650527954	J115825.42+250551.5
111067	172.4091796875	9.9675903320312	J112938.20+095803.3
