Session Info
First Scan Start	2025-11-18 15:19 UTC
Last Scan End	2025-11-18 20:16 UTC
Total Size	1.44 GiB
# Files	500
# Scans	83
Total Obs. Time	3:57:00
Total Obs. Span	4:57:22
Min. Scan Duration	0:00:30
Max. Scan Duration	0:03:00
Antenna Beam Intra-Scan Odometer	9.68°
Antenna Beam Odometer	None
Az. Scan Odometer	44.576 m
Az. Odometer	
Az. Displacement


People
Observer	OPERATOR
Operator	David Rose


DSS Periods (1)
DSS Session	PI	State	Start	Duration	Target	Receivers
GBT25A-474 - 03	Alberto Bolatto	Scheduled	2025-11-18 15:15 UTC	5.0	NGC5480, NGC5633, UGC09476, UGC08733, UGC10972, UGC09542, NGC5934, UGC09598, NGC6154, UGC08781, IC4215, UGC10905, UGC09711, UGC09629, UGC08234, NGC6427 (4.58, 0.67)	L


Executed Astrid Scripts (1)
Script Name	Start	End	Duration	State	Observer	# Scans	Script md5
25A474_operator	2025-11-18 15:15 UTC	2025-11-18 15:15 UTC	0:00:00	In Progress	OPERATOR	83	—


Scans (83) ¶
Start	End	Duration	#	Observer	Frontends	Backends	Object	Proc. Name	Proc. Type	# Subscans	Rest Freq.	Sky Freq.	Astrid Script
2025-11-18 19:04 UTC	2025-11-18 19:07 UTC	0:03:00	64	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:08 UTC	2025-11-18 19:11 UTC	0:03:00	65	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:11 UTC	2025-11-18 19:14 UTC	0:03:00	66	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:14 UTC	2025-11-18 19:17 UTC	0:03:00	67	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:18 UTC	2025-11-18 19:21 UTC	0:03:00	68	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:21 UTC	2025-11-18 19:24 UTC	0:03:00	69	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:25 UTC	2025-11-18 19:28 UTC	0:03:00	70	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:28 UTC	2025-11-18 19:31 UTC	0:03:00	71	OPERATOR	Rcvr1_2	VEGAS	UGC09629	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:33 UTC	2025-11-18 19:36 UTC	0:03:00	72	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:36 UTC	2025-11-18 19:39 UTC	0:03:00	73	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:39 UTC	2025-11-18 19:42 UTC	0:03:00	74	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:43 UTC	2025-11-18 19:46 UTC	0:03:00	75	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:46 UTC	2025-11-18 19:49 UTC	0:03:00	76	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:49 UTC	2025-11-18 19:52 UTC	0:03:00	77	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:53 UTC	2025-11-18 19:56 UTC	0:03:00	78	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:56 UTC	2025-11-18 19:59 UTC	0:03:00	79	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 19:59 UTC	2025-11-18 20:02 UTC	0:03:00	80	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 20:03 UTC	2025-11-18 20:06 UTC	0:03:00	81	OPERATOR	Rcvr1_2	VEGAS	UGC08234	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 20:09 UTC	2025-11-18 20:12 UTC	0:03:00	82	OPERATOR	Rcvr1_2	VEGAS	NGC6427	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00
2025-11-18 20:13 UTC	2025-11-18 20:16 UTC	0:03:00	83	OPERATOR	Rcvr1_2	VEGAS	NGC6427	OnOff	SIMPLE	2	1.4 GHz	1.4 GHz	25A474_operator 2025-11-18 15:15:04+00:00

