spectral_axis flux uncertainty weight mask baseline
1436331846.8359375 0.022695141294687703 0.0 1.0 0 0.0
1436328795.078125 0.01643610604304341 0.0 1.0 0 0.0
1436325743.3203125 0.005428576494732725 0.0 1.0 0 0.0
1436322691.5625 0.00980350586251255 0.0 1.0 0 0.0
1436319639.8046875 0.004314536556725914 0.0 1.0 0 0.0
1436316588.046875 0.017266326454161006 0.0 1.0 0 0.0
1436313536.2890625 0.006912097967599455 0.0 1.0 0 0.0
1436310484.53125 0.010146043801802042 0.0 1.0 0 0.0
1436307432.7734375 0.02955809619924479 0.0 1.0 0 0.0
1436304381.015625 0.05416678180023901 0.0 1.0 0 0.0
1436301329.2578125 0.0696209388981786 0.0 1.0 0 0.0
1436298277.5 0.04085243645803591 0.0 1.0 0 0.0
1436295225.7421875 0.02706979373631572 0.0 1.0 0 0.0
1436292173.984375 0.0186936997271589 0.0 1.0 0 0.0
1436289122.2265625 0.0024417354508805083 0.0 1.0 0 0.0
1436286070.46875 0.0019141889641596343 0.0 1.0 0 0.0
1436283018.7109375 0.013903590175254187 0.0 1.0 0 0.0
1436279966.953125 0.016639101333632843 0.0 1.0 0 0.0
1436276915.1953125 0.009388905326013266 0.0 1.0 0 0.0
1436273863.4375 0.01136829116984098 0.0 1.0 0 0.0
1436270811.6796875 0.010586807237043144 0.0 1.0 0 0.0
1436267759.921875 -0.004431453778053434 0.0 1.0 0 0.0
1436264708.1640625 0.01016440174129216 0.0 1.0 0 0.0
1436261656.40625 0.02123143341365091 0.0 1.0 0 0.0
1436258604.6484375 0.0074963036558225215 0.0 1.0 0 0.0
1436255552.890625 0.005040157647624392 0.0 1.0 0 0.0
1436252501.1328125 0.025835026868977373 0.0 1.0 0 0.0
1436249449.375 0.00583427053145511 0.0 1.0 0 0.0
1436246397.6171875 0.01217527284767821 0.0 1.0 0 0.0
1436243345.859375 0.01408549023473997 0.0 1.0 0 0.0
1436240294.1015625 0.010227639073692877 0.0 1.0 0 0.0
1436237242.34375 -0.004993041101154087 0.0 1.0 0 0.0
1436234190.5859375 0.008047750723230733 0.0 1.0 0 0.0
1436231138.828125 0.012542963209245373 0.0 1.0 0 0.0
1436228087.0703125 -0.006220962553078838 0.0 1.0 0 0.0
1436225035.3125 0.005758569094330466 0.0 1.0 0 0.0
1436221983.5546875 0.012521450462574156 0.0 1.0 0 0.0
1436218931.796875 0.014556874762898957 0.0 1.0 0 0.0
1436215880.0390625 0.011438744827171452 0.0 1.0 0 0.0
1436212828.28125 0.009672035474664352 0.0 1.0 0 0.0
1436209776.5234375 0.0033374576991830255 0.0 1.0 0 0.0
1436206724.765625 -0.007489928685738148 0.0 1.0 0 0.0
1436203673.0078125 0.016483354508624818 0.0 1.0 0 0.0
1436200621.25 0.015930729998499614 0.0 1.0 0 0.0
1436197569.4921875 0.017254859137773033 0.0 1.0 0 0.0
1436194517.734375 -0.0007712564417233308 0.0 1.0 0 0.0
1436191465.9765625 0.01830769609785197 0.0 1.0 0 0.0
1436188414.21875 0.007318199101246036 0.0 1.0 0 0.0
1436185362.4609375 0.009214948955707037 0.0 1.0 0 0.0
1436182310.703125 0.011763854666532424 0.0 1.0 0 0.0
1436179258.9453125 0.012228930496750773 0.0 1.0 0 0.0
1436176207.1875 0.01137658460374647 0.0 1.0 0 0.0
1436173155.4296875 0.013418096275489864 0.0 1.0 0 0.0
1436170103.671875 0.013846084890716988 0.0 1.0 0 0.0
1436167051.9140625 0.014855736276227867 0.0 1.0 0 0.0
1436164000.15625 0.017231717131571088 0.0 1.0 0 0.0
1436160948.3984375 0.011350976477137207 0.0 1.0 0 0.0
1436157896.640625 0.0008449692366179582 0.0 1.0 0 0.0
1436154844.8828125 0.01799809668931115 0.0 1.0 0 0.0
1436151793.125 0.02376258336838086 0.0 1.0 0 0.0
1436148741.3671875 0.0008591160682733154 0.0 1.0 0 0.0
1436145689.609375 -0.0009008193816044232 0.0 1.0 0 0.0
1436142637.8515625 0.016562846039832164 0.0 1.0 0 0.0
1436139586.09375 0.01595187135027946 0.0 1.0 0 0.0
1436136534.3359375 0.014813340866886513 0.0 1.0 0 0.0
1436133482.578125 0.009506334908747447 0.0 1.0 0 0.0
1436130430.8203125 0.013344548275546158 0.0 1.0 0 0.0
1436127379.0625 0.0054671871676941035 0.0 1.0 0 0.0
1436124327.3046875 0.006555584528621848 0.0 1.0 0 0.0
1436121275.546875 0.012572862887434092 0.0 1.0 0 0.0
1436118223.7890625 0.006967809876831822 0.0 1.0 0 0.0
1436115172.03125 0.006240202313538064 0.0 1.0 0 0.0
1436112120.2734375 0.010460222432597888 0.0 1.0 0 0.0
1436109068.515625 0.006467779067815002 0.0 1.0 0 0.0
1436106016.7578125 0.011705860066671644 0.0 1.0 0 0.0
1436102965.0 0.021006156786825193 0.0 1.0 0 0.0
1436099913.2421875 0.016441159089754794 0.0 1.0 0 0.0
1436096861.484375 0.005928492797979977 0.0 1.0 0 0.0
1436093809.7265625 0.008008963198550297 0.0 1.0 0 0.0
1436090757.96875 0.020124279940826814 0.0 1.0 0 0.0
1436087706.2109375 0.0009230339224697074 0.0 1.0 0 0.0
1436084654.453125 0.010890244144886227 0.0 1.0 0 0.0
1436081602.6953125 0.02256260927491024 0.0 1.0 0 0.0
1436078550.9375 0.013411333355436181 0.0 1.0 0 0.0
1436075499.1796875 0.006504079154726666 0.0 1.0 0 0.0
1436072447.421875 0.012663198680714912 0.0 1.0 0 0.0
1436069395.6640625 0.0010104108760688917 0.0 1.0 0 0.0
1436066343.90625 0.011695658843825332 0.0 1.0 0 0.0
1436063292.1484375 0.023971089985357373 0.0 1.0 0 0.0
1436060240.390625 0.013598303389755415 0.0 1.0 0 0.0
1436057188.6328125 0.011188241151560984 0.0 1.0 0 0.0
1436054136.875 0.016715332580789385 0.0 1.0 0 0.0
1436051085.1171875 0.02560451279937287 0.0 1.0 0 0.0
1436048033.359375 0.013611067726905741 0.0 1.0 0 0.0
1436044981.6015625 0.013863894712232644 0.0 1.0 0 0.0
1436041929.84375 0.014261266979825533 0.0 1.0 0 0.0
1436038878.0859375 0.014721345424196307 0.0 1.0 0 0.0
1436035826.328125 0.014002233833634062 0.0 1.0 0 0.0
1436032774.5703125 0.005998088047665305 0.0 1.0 0 0.0
1436029722.8125 0.008219147743899655 0.0 1.0 0 0.0
1436026671.0546875 0.018565166910212778 0.0 1.0 0 0.0
1436023619.296875 0.010793410198676781 0.0 1.0 0 0.0
1436020567.5390625 0.02529834845875637 0.0 1.0 0 0.0
1436017515.78125 0.0074808451630585665 0.0 1.0 0 0.0
1436014464.0234375 0.006475409149247112 0.0 1.0 0 0.0
1436011412.265625 0.012712292563005897 0.0 1.0 0 0.0
1436008360.5078125 0.026789367520836996 0.0 1.0 0 0.0
1436005308.75 0.017393768325152614 0.0 1.0 0 0.0
1436002256.9921875 0.005560734389620144 0.0 1.0 0 0.0
1435999205.234375 0.0023728435816133104 0.0 1.0 0 0.0
1435996153.4765625 0.012843846063395217 0.0 1.0 0 0.0
1435993101.71875 0.014566861775418364 0.0 1.0 0 0.0
1435990049.9609375 0.021252377813093044 0.0 1.0 0 0.0
1435986998.203125 0.012600954256863452 0.0 1.0 0 0.0
1435983946.4453125 0.018636305504442487 0.0 1.0 0 0.0
1435980894.6875 0.02001591675691665 0.0 1.0 0 0.0
1435977842.9296875 0.003401713600873032 0.0 1.0 0 0.0
1435974791.171875 0.006123726646535706 0.0 1.0 0 0.0
1435971739.4140625 0.015553010404026478 0.0 1.0 0 0.0
1435968687.65625 0.013150256015543479 0.0 1.0 0 0.0
1435965635.8984375 0.02389116215541334 0.0 1.0 0 0.0
1435962584.140625 0.015013812050954726 0.0 1.0 0 0.0
1435959532.3828125 0.016815472543795264 0.0 1.0 0 0.0
1435956480.625 0.020826941320159213 0.0 1.0 0 0.0
1435953428.8671875 0.02203038537179126 0.0 1.0 0 0.0
1435950377.109375 0.002336799384886896 0.0 1.0 0 0.0
1435947325.3515625 0.02053229798284846 0.0 1.0 0 0.0
1435944273.59375 -0.003529739730785874 0.0 1.0 0 0.0
1435941221.8359375 0.003948148002829104 0.0 1.0 0 0.0
1435938170.078125 0.008125720274930808 0.0 1.0 0 0.0
1435935118.3203125 0.014568589623784758 0.0 1.0 0 0.0
1435932066.5625 0.01671510075745765 0.0 1.0 0 0.0
1435929014.8046875 0.014703720352658876 0.0 1.0 0 0.0
1435925963.046875 0.02426592551872356 0.0 1.0 0 0.0
1435922911.2890625 0.027246025109452985 0.0 1.0 0 0.0
1435919859.53125 0.015138767107960185 0.0 1.0 0 0.0
1435916807.7734375 0.01983934226696725 0.0 1.0 0 0.0
1435913756.015625 0.024997994369524188 0.0 1.0 0 0.0
1435910704.2578125 0.013008968142311504 0.0 1.0 0 0.0
1435907652.5 0.030177210324362103 0.0 1.0 0 0.0
1435904600.7421875 0.016402908308183625 0.0 1.0 0 0.0
1435901548.984375 0.01311528960597834 0.0 1.0 0 0.0
1435898497.2265625 0.024059424795754996 0.0 1.0 0 0.0
1435895445.46875 0.016686422892366395 0.0 1.0 0 0.0
1435892393.7109375 0.013597617233109986 0.0 1.0 0 0.0
1435889341.953125 0.022667625049661386 0.0 1.0 0 0.0
1435886290.1953125 -0.0012383360599161257 0.0 1.0 0 0.0
1435883238.4375 0.0007903400697719975 0.0 1.0 0 0.0
1435880186.6796875 0.024661535419441386 0.0 1.0 0 0.0
1435877134.921875 0.00896165246241751 0.0 1.0 0 0.0
1435874083.1640625 -0.0013100701065545664 0.0 1.0 0 0.0
1435871031.40625 0.018334562872570632 0.0 1.0 0 0.0
1435867979.6484375 0.015078011150098363 0.0 1.0 0 0.0
